,Zygote,2-cell,4-cell,8-cell,Morula,Blastocyst
Nae1,0.895780158,0.922231813,0.956237171,0.961784976,0.961312922,1.302652961
Ddx17,0.609525028,0.587465152,0.751589262,0.758790452,1.151945809,2.140684299
Rplp0,0.51923186,0.461853415,0.63385727,0.690884266,1.216076049,2.478097141
Smpd1,0.35629229,0.357047502,0.40801641,0.426281943,0.760061268,3.692300589
Tkt,0.878427377,0.914517709,0.961887095,0.967934164,0.997611474,1.279622183
Fkbp3,0.726828459,0.815744969,0.821932633,0.793183026,0.921095072,1.921215842
Mki67ip,0.224716286,0.337558884,0.447706174,0.579869971,1.29226118,3.117887507
Mrps30,0.553397572,0.641440851,0.800509603,0.849164507,1.061472343,2.094015125
Tsn,0.900792238,0.86821365,0.881191916,0.912973152,0.95291208,1.483916966
Whsc2,0.594323347,0.851837925,0.829861079,0.854581013,1.01068445,1.858712187
Abhd11,0.901993033,0.953364537,0.910991313,0.98563952,0.979234682,1.268776917
Erf,0,0,0.136938936,0.337566356,0.563922195,4.961572514
Pabpn1,0.389547401,0.481069845,0.717948353,0.773918568,1.100708966,2.536806867
Ythdf3,0.922424319,0.612269361,0.638404706,0.728254182,1.044850198,2.053797234
Sf1,0.402661867,0.487840309,0.609619342,0.726314552,1.181210765,2.592353166
Mrpl37,0.728627411,0.734952164,0.835039224,0.785917677,0.898626041,2.016837485
Taf10,0.883917254,0.727467811,0.726817816,0.770133544,0.969955513,1.921708064
Cggbp1,0.501752189,0.576562439,0.731838654,0.82666226,1.091831228,2.27135323
Oxa1l,0.539673492,0.584241472,0.645387855,0.609641799,0.84254724,2.778508143
Ap3d1,0.935579789,0.811390314,0.808461115,0.895783226,0.975222852,1.573562706
Ddah1,0.333144654,0.363763363,0.370817366,0.531475563,0.729871399,3.670927657
Smtn,0.380198842,0.469952332,0.57166779,0.623561629,1.24597735,2.70864206
Psmd3,0.901181613,0.731997726,0.760245794,0.85063636,1.098870618,1.657067891
AU018091,0.350207857,0.369900906,0.383909011,0.608599334,1.310854433,2.976528459
Xrn1,0.414160926,0.52910754,0.579948764,0.804562321,1.142370347,2.529850103
Rtn4,0.459598409,0.53004926,0.625383009,0.813994668,1.13120312,2.439771536
